KIDS_TILE,DMAG_R
KIDS_33.8_-31.2,0.02632109448313713
KIDS_228.0_-0.5,0.01787658780813217
KIDS_4.8_-34.1,0.009525995701551437
KIDS_237.0_-0.5,0.04037428647279739
KIDS_219.0_-0.5,0.01711046881973743
KIDS_175.0_-0.5,0.06491871923208237
KIDS_175.0_0.5,0.01698380708694458
KIDS_32.1_-33.1,0.03238724172115326
KIDS_185.0_0.5,0.008286075666546822
KIDS_17.5_-31.2,-0.01734592765569687
KIDS_51.3_-31.2,0.03102912940084934
KIDS_188.0_0.5,0.02827794663608074
KIDS_8.4_-34.1,-0.1432355493307114
KIDS_332.9_-32.1,-0.04532383009791374
KIDS_188.0_-0.5,0.02766286581754684
KIDS_353.0_-31.2,0.03987609595060349
KIDS_11.7_-31.2,0.0442575141787529
KIDS_1.2_-31.2,0.04476200416684151
KIDS_9.2_-30.2,-0.00389017164707183
KIDS_233.6_2.5,-0.1756795942783356
KIDS_222.0_0.5,-0.00369853153824806
KIDS_330.6_-32.1,0.03419236838817596
KIDS_192.0_0.5,-0.0655757486820221
KIDS_235.7_2.5,0.03134274482727051
KIDS_35.3_-32.1,0.0388634167611599
KIDS_132.4_2.5,0.0133232232183218
KIDS_50.0_-26.2,-0.01538227871060371
KIDS_212.0_1.5,0.04167904704809189
KIDS_343.2_-34.1,0.03257254511117935
KIDS_343.7_-31.2,0.02949535846710205
KIDS_228.0_-1.5,0.03630734980106354
KIDS_161.4_2.5,-0.00023914128541946
KIDS_341.8_-35.1,0.06070086359977722
KIDS_187.0_-1.5,0.04823734611272812
KIDS_347.3_-30.2,0.01578458584845066
KIDS_220.6_2.5,-0.00445043295621871
KIDS_354.0_-34.1,0.01972537115216255
KIDS_189.0_-0.5,0.04156434163451195
KIDS_18.6_-31.2,-0.05155772343277931
KIDS_224.0_0.5,0.01065796613693237
KIDS_49.2_-34.1,0.02253480814397335
KIDS_343.1_-28.2,0.01434073410928249
KIDS_44.0_-33.1,0.04527223855257034
KIDS_131.0_1.5,0.03051157295703888
KIDS_227.0_1.5,-0.03538795560598373
KIDS_331.2_-30.2,-0.03816056251525879
KIDS_349.3_-33.1,0.04352577030658722
KIDS_140.0_1.5,-0.03393709659576416
KIDS_2.4_-33.1,-0.05271827802062035
KIDS_342.7_-30.2,0.03578398004174232
KIDS_136.0_-0.5,0.04360082745552063
KIDS_235.0_1.5,-0.1042784154415131
KIDS_160.0_-0.5,-0.05973505601286888
KIDS_181.0_-0.5,0.02920029684901237
KIDS_203.0_0.5,-0.06581567227840424
KIDS_165.0_0.5,-0.01520589366555214
KIDS_167.5_-2.5,0.03360050916671753
KIDS_14.0_-31.2,0.01908857375383377
KIDS_207.0_0.5,0.02726158499717712
KIDS_168.5_2.5,-0.09004279971122742
KIDS_159.4_-2.5,-0.08799378573894501
KIDS_16.1_-30.2,0.001479439437389374
KIDS_192.5_2.5,-0.00450319424271583
KIDS_23.0_-30.2,0.03219542652368546
KIDS_168.0_-0.5,-0.00020082667469978
KIDS_211.0_0.5,-0.00802860409021377
KIDS_186.5_-2.5,-0.1877537071704865
KIDS_184.0_0.5,0.008425626903772354
KIDS_130.4_2.5,0.03727640956640244
KIDS_32.6_-31.2,0.03467792272567749
KIDS_51.6_-34.1,0.007051698863506317
KIDS_349.2_-34.1,0.02677756734192371
KIDS_161.4_-2.5,0.008765481412410736
KIDS_352.9_-33.1,0.03066523745656013
KIDS_195.0_-0.5,-0.07819569855928421
KIDS_357.6_-33.1,-0.01337284594774246
KIDS_18.1_-28.2,-0.2448736131191254
KIDS_16.5_-32.1,0.0293346680700779
KIDS_45.0_-35.1,0.00908331573009491
